match_id,date,match_type,team1,team2,venue,city,toss_winner,winner
297795,2007-10-05,ODI,India,Australia,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Australia,Australia
297796,2007-10-08,ODI,India,Australia,Sector 16 Stadium,Chandigarh,India,India
297797,2007-10-11,ODI,India,Australia,Reliance Stadium,Vadodara,India,Australia
297798,2007-10-14,ODI,India,Australia,Vidarbha Cricket Association Ground,Nagpur,Australia,Australia
297799,2007-10-17,ODI,India,Australia,Wankhede Stadium,Mumbai,Australia,India
297801,2007-11-05,ODI,India,Pakistan,Nehru Stadium,Guwahati,Pakistan,India
297802,2007-11-08,ODI,India,Pakistan,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Pakistan
297803,2007-11-11,ODI,India,Pakistan,Green Park,Kanpur,Pakistan,India
297804,2007-11-15,ODI,India,Pakistan,Captain Roop Singh Stadium,Gwalior,Pakistan,India
297805,2007-11-18,ODI,India,Pakistan,Sawai Mansingh Stadium,Jaipur,India,Pakistan
298796,2007-11-25,ODI,South Africa,New Zealand,Kingsmead,Durban,South Africa,South Africa
298797,2007-11-30,ODI,South Africa,New Zealand,St George's Park,Port Elizabeth,South Africa,New Zealand
298798,2007-12-02,ODI,South Africa,New Zealand,Newlands,Cape Town,New Zealand,South Africa
298805,2008-01-20,ODI,South Africa,West Indies,SuperSport Park,Centurion,South Africa,South Africa
298806,2008-01-25,ODI,South Africa,West Indies,Newlands,Cape Town,South Africa,South Africa
298807,2008-01-27,ODI,South Africa,West Indies,St George's Park,Port Elizabeth,West Indies,South Africa
298808,2008-02-01,ODI,South Africa,West Indies,Kingsmead,Durban,West Indies,South Africa
298809,2008-02-03,ODI,South Africa,West Indies,New Wanderers Stadium,Johannesburg,South Africa,South Africa
299006,2007-10-18,ODI,Pakistan,South Africa,Gaddafi Stadium,Lahore,South Africa,South Africa
299007,2007-10-20,ODI,Pakistan,South Africa,Gaddafi Stadium,Lahore,Pakistan,Pakistan
299008,2007-10-23,ODI,Pakistan,South Africa,Iqbal Stadium,Faisalabad,South Africa,Pakistan
299009,2007-10-26,ODI,Pakistan,South Africa,Multan Cricket Stadium,,Pakistan,South Africa
299010,2007-10-29,ODI,Pakistan,South Africa,Gaddafi Stadium,Lahore,South Africa,South Africa
300426,2007-12-26,ODI,New Zealand,Bangladesh,Eden Park,Auckland,New Zealand,New Zealand
300427,2007-12-28,ODI,New Zealand,Bangladesh,McLean Park,Napier,New Zealand,New Zealand
300428,2007-12-31,ODI,New Zealand,Bangladesh,Queenstown Events Centre,,New Zealand,New Zealand
300437,2008-02-09,ODI,New Zealand,England,Westpac Stadium,Wellington,England,New Zealand
300438,2008-02-12,ODI,New Zealand,England,Seddon Park,Hamilton,New Zealand,New Zealand
300439,2008-02-15,ODI,New Zealand,England,Eden Park,Auckland,England,England
300440,2008-02-20,ODI,New Zealand,England,McLean Park,Napier,New Zealand,
300441,2008-02-23,ODI,New Zealand,England,AMI Stadium,Christchurch,New Zealand,New Zealand
300486,2007-08-22,ODI,Zimbabwe,South Africa,Queens Sports Club,Bulawayo,Zimbabwe,South Africa
300487,2007-08-25,ODI,Zimbabwe,South Africa,Harare Sports Club,,South Africa,South Africa
300488,2007-08-26,ODI,Zimbabwe,South Africa,Harare Sports Club,,South Africa,South Africa
312291,2008-02-21,ODI,South Africa,Netherlands,Stellenbosch University 1,,South Africa,South Africa
312295,2008-02-22,ODI,Ireland,South Africa,Stellenbosch University 1,,Ireland,South Africa
312296,2008-02-22,ODI,Pakistan,Netherlands,Stellenbosch University 2,,Pakistan,Pakistan
313992,2007-10-25,ODI,Kenya,Bermuda,Gymkhana Club Ground,Nairobi,Kenya,Kenya
313993,2007-10-27,ODI,Kenya,Bermuda,Gymkhana Club Ground,Nairobi,Bermuda,Kenya
313994,2007-10-28,ODI,Kenya,Bermuda,Gymkhana Club Ground,Nairobi,Bermuda,Kenya
317578,2007-11-30,ODI,Zimbabwe,West Indies,Harare Sports Club,,West Indies,Zimbabwe
317579,2007-12-02,ODI,Zimbabwe,West Indies,Harare Sports Club,,Zimbabwe,West Indies
317581,2007-12-07,ODI,Zimbabwe,West Indies,Queens Sports Club,Bulawayo,West Indies,West Indies
